age,income,economic_status,employment,car_avail,bike_avail,pt_abo_avail,zone,main_mode,share
,,,,,,,,bike,0.1778775433769421
,,,,,,,,car,0.2006731163392272
,,,,,,,,pt,0.26507337116140534
,,,,,,,,ride,0.05960731320506922
,,,,,,,,walk,0.29676865591735613
0 - 12,,,,,,,,bike,0.21857291193211767
0 - 12,,,,,,,,car,0.00030589980172303366
0 - 12,,,,,,,,pt,0.11806557241461305
0 - 12,,,,,,,,ride,0.23629940207615938
0 - 12,,,,,,,,walk,0.4267562137753869
12 - 18,,,,,,,,bike,0.2527401160246137
12 - 18,,,,,,,,car,0.0007185501867062635
12 - 18,,,,,,,,pt,0.4572593184425544
12 - 18,,,,,,,,ride,0.08566169478297457
12 - 18,,,,,,,,walk,0.20362032056315107
18 - 25,,,,,,,,bike,0.14816739416513108
18 - 25,,,,,,,,car,0.11205505668921345
18 - 25,,,,,,,,pt,0.4984928565526451
18 - 25,,,,,,,,ride,0.04294719572099813
18 - 25,,,,,,,,walk,0.1983374968720123
25 - 35,,,,,,,,bike,0.1899835208003062
25 - 35,,,,,,,,car,0.15614273008935123
25 - 35,,,,,,,,pt,0.3362910313156359
25 - 35,,,,,,,,ride,0.025378210372020146
25 - 35,,,,,,,,walk,0.29220450742268655
35 - 66,,,,,,,,bike,0.19447383683041783
35 - 66,,,,,,,,car,0.26999985957450306
35 - 66,,,,,,,,pt,0.24221833564171472
35 - 66,,,,,,,,ride,0.02850545801322872
35 - 66,,,,,,,,walk,0.26480250994013566
66+,,,,,,,,bike,0.0879459719768854
66+,,,,,,,,car,0.2539329667861131
66+,,,,,,,,pt,0.20812265588723108
66+,,,,,,,,ride,0.07454558436480162
66+,,,,,,,,walk,0.37545282098496874
,0 - 250,,,,,,,bike,0.17218795063305556
,0 - 250,,,,,,,car,0.07375804201627992
,0 - 250,,,,,,,pt,0.36788539507370155
,0 - 250,,,,,,,ride,0.05736609067748156
,0 - 250,,,,,,,walk,0.32880252159948137
,250 - 500,,,,,,,bike,0.1576435832739148
,250 - 500,,,,,,,car,0.09398213466394216
,250 - 500,,,,,,,pt,0.4200513762151501
,250 - 500,,,,,,,ride,0.049689737955953536
,250 - 500,,,,,,,walk,0.2786331678910394
,500 - 750,,,,,,,bike,0.1690412865227345
,500 - 750,,,,,,,car,0.0952019089277376
,500 - 750,,,,,,,pt,0.34169965971300437
,500 - 750,,,,,,,ride,0.0364815715904531
,500 - 750,,,,,,,walk,0.35757557324607053
,750 - 1000,,,,,,,bike,0.1605306031638715
,750 - 1000,,,,,,,car,0.15343531102117322
,750 - 1000,,,,,,,pt,0.30889280467916597
,750 - 1000,,,,,,,ride,0.0704840611534886
,750 - 1000,,,,,,,walk,0.3066572199823007
,1000 - 1250,,,,,,,bike,0.16400590433651951
,1000 - 1250,,,,,,,car,0.15807501130745588
,1000 - 1250,,,,,,,pt,0.30434393280333116
,1000 - 1250,,,,,,,ride,0.048052810757327445
,1000 - 1250,,,,,,,walk,0.325522340795366
,1250 - 1500,,,,,,,bike,0.2219424400067588
,1250 - 1500,,,,,,,car,0.16192744267293302
,1250 - 1500,,,,,,,pt,0.2514907188010216
,1250 - 1500,,,,,,,ride,0.07755476413096053
,1250 - 1500,,,,,,,walk,0.2870846343883261
,1500 - 1750,,,,,,,bike,0.17722748527114404
,1500 - 1750,,,,,,,car,0.2021540295352491
,1500 - 1750,,,,,,,pt,0.23739890557178603
,1500 - 1750,,,,,,,ride,0.08743262998031857
,1500 - 1750,,,,,,,walk,0.2957869496415022
,1750 - 2000,,,,,,,bike,0.17772645059281425
,1750 - 2000,,,,,,,car,0.1926611146372314
,1750 - 2000,,,,,,,pt,0.2589489151320075
,1750 - 2000,,,,,,,ride,0.054192491470133664
,1750 - 2000,,,,,,,walk,0.31647102816781325
,2000 - 2500,,,,,,,bike,0.18783472359655523
,2000 - 2500,,,,,,,car,0.22376799496098843
,2000 - 2500,,,,,,,pt,0.2508263514978506
,2000 - 2500,,,,,,,ride,0.05990636968452791
,2000 - 2500,,,,,,,walk,0.27766456026007785
,2500 - 3000,,,,,,,bike,0.18493739692022393
,2500 - 3000,,,,,,,car,0.22737268816640907
,2500 - 3000,,,,,,,pt,0.2323637472500731
,2500 - 3000,,,,,,,ride,0.07295968076754732
,2500 - 3000,,,,,,,walk,0.2823664868957466
,3000 - 3500,,,,,,,bike,0.17838935811512296
,3000 - 3500,,,,,,,car,0.2652280953881668
,3000 - 3500,,,,,,,pt,0.2549441581052122
,3000 - 3500,,,,,,,ride,0.04813574957400957
,3000 - 3500,,,,,,,walk,0.2533026388174885
,3500+,,,,,,,bike,0.14976678428498297
,3500+,,,,,,,car,0.2673168050857548
,3500+,,,,,,,pt,0.25325847726053174
,3500+,,,,,,,ride,0.03838427856333656
,3500+,,,,,,,walk,0.2912736548053941
,,very_low,,,,,,bike,0.1675197664431306
,,very_low,,,,,,car,0.11637765059484491
,,very_low,,,,,,pt,0.3361555929509707
,,very_low,,,,,,ride,0.05366830540357311
,,very_low,,,,,,walk,0.3262786846074808
,,low,,,,,,bike,0.17173132763036666
,,low,,,,,,car,0.15838941496219053
,,low,,,,,,pt,0.29922795820352804
,,low,,,,,,ride,0.0516728248643234
,,low,,,,,,walk,0.3189784743395914
,,medium,,,,,,bike,0.17176083610753098
,,medium,,,,,,car,0.21100313999522027
,,medium,,,,,,pt,0.25443404649377704
,,medium,,,,,,ride,0.05920224440955985
,,medium,,,,,,walk,0.3035997329939118
,,high,,,,,,bike,0.19399004470878253
,,high,,,,,,car,0.22624933649021978
,,high,,,,,,pt,0.24983624562474216
,,high,,,,,,ride,0.06000339293743771
,,high,,,,,,walk,0.26992098023881783
,,very_high,,,,,,bike,0.17976295556972166
,,very_high,,,,,,car,0.24578746786220693
,,very_high,,,,,,pt,0.2208715699688352
,,very_high,,,,,,ride,0.07744039137587758
,,very_high,,,,,,walk,0.27613761522335856
,,,child,,,,,bike,0.20716412244519566
,,,child,,,,,car,0.0001483627387071251
,,,child,,,,,pt,0.11000258573460318
,,,child,,,,,ride,0.2421957728486418
,,,child,,,,,walk,0.44048915623285223
,,,homemaker,,,,,bike,0.14425697379866054
,,,homemaker,,,,,car,0.24492843318404647
,,,homemaker,,,,,pt,0.1679960159166205
,,,homemaker,,,,,ride,0.051082926866741346
,,,homemaker,,,,,walk,0.3917356502339311
,,,retiree,,,,,bike,0.09031170998698444
,,,retiree,,,,,car,0.2496492423519157
,,,retiree,,,,,pt,0.20821520842070168
,,,retiree,,,,,ride,0.07539111051389383
,,,retiree,,,,,walk,0.37643272872650424
,,,unemployed,,,,,bike,0.1701406008953378
,,,unemployed,,,,,car,0.13642685067817573
,,,unemployed,,,,,pt,0.28477584743254275
,,,unemployed,,,,,ride,0.023862009808208462
,,,unemployed,,,,,walk,0.3847946911857353
,,,school,,,,,bike,0.24267440540444002
,,,school,,,,,car,0.006480179890351854
,,,school,,,,,pt,0.3105150846943998
,,,school,,,,,ride,0.14458046140559072
,,,school,,,,,walk,0.2957498686052177
,,,student,,,,,bike,0.16643299545013981
,,,student,,,,,car,0.08653257174608704
,,,student,,,,,pt,0.4728825204671616
,,,student,,,,,ride,0.03096045288650238
,,,student,,,,,walk,0.24319145945010914
,,,trainee,,,,,bike,0.0741314122134227
,,,trainee,,,,,car,0.1402760633228269
,,,trainee,,,,,pt,0.5246766887744256
,,,trainee,,,,,ride,0.04854124972392259
,,,trainee,,,,,walk,0.2123745859654021
,,,job_full_time,,,,,bike,0.18752283685531465
,,,job_full_time,,,,,car,0.2771666490633126
,,,job_full_time,,,,,pt,0.2747976814551746
,,,job_full_time,,,,,ride,0.024608079977546306
,,,job_full_time,,,,,walk,0.2359047526486518
,,,job_part_time,,,,,bike,0.24362757002810326
,,,job_part_time,,,,,car,0.20744300794075418
,,,job_part_time,,,,,pt,0.26559908083408684
,,,job_part_time,,,,,ride,0.024656156881135375
,,,job_part_time,,,,,walk,0.25867418431592043
,,,other,,,,,bike,0.1739528221063212
,,,other,,,,,car,0.1935199327870223
,,,other,,,,,pt,0.18808208384728872
,,,other,,,,,ride,0.0343807750529511
,,,other,,,,,walk,0.4100643862064166
,,,,yes,,,,bike,0.13882445350761707
,,,,yes,,,,car,0.3409501188107292
,,,,yes,,,,pt,0.17093625760056622
,,,,yes,,,,ride,0.09203948204559302
,,,,yes,,,,walk,0.2572496880354946
,,,,no,,,,bike,0.24824524566737133
,,,,no,,,,car,0.010660801612134821
,,,,no,,,,pt,0.3907381719512366
,,,,no,,,,ride,0.014764006537255897
,,,,no,,,,walk,0.33559177423200137
,,,,unknown,,,,bike,0.22642593557494847
,,,,unknown,,,,car,0.012190273339399545
,,,,unknown,,,,pt,0.3919758764229472
,,,,unknown,,,,ride,0.01623490549538453
,,,,unknown,,,,walk,0.35317300916732025
,,,,,yes,,,bike,0.22118361457555683
,,,,,yes,,,car,0.20923950207034284
,,,,,yes,,,pt,0.2520465208638318
,,,,,yes,,,ride,0.048911568897233554
,,,,,yes,,,walk,0.268618793593035
,,,,,no,,,bike,0.016274477015502213
,,,,,no,,,car,0.22364714963410795
,,,,,no,,,pt,0.3742109333728175
,,,,,no,,,ride,0.07266816324099962
,,,,,no,,,walk,0.3131992767365726
,,,,,unknown,,,bike,0.05449057258498674
,,,,,unknown,,,car,0.164326803633978
,,,,,unknown,,,pt,0.2890364635967584
,,,,,unknown,,,ride,0.09591660962272425
,,,,,unknown,,,walk,0.3962295505615526
,,,,,,yes,,bike,0.12535353734312613
,,,,,,yes,,car,0.09660097408623788
,,,,,,yes,,pt,0.45720099147048365
,,,,,,yes,,ride,0.039757903202133224
,,,,,,yes,,walk,0.2810865938980191
,,,,,,no,,bike,0.23240772889574848
,,,,,,no,,car,0.33683849093806195
,,,,,,no,,pt,0.07249872034850273
,,,,,,no,,ride,0.06110550180305122
,,,,,,no,,walk,0.2971495580146355
,,,,,,unknown,,bike,0.2035892359587899
,,,,,,unknown,,car,0.0016696750934758302
,,,,,,unknown,,pt,0.1097634113192646
,,,,,,unknown,,ride,0.23919201365134315
,,,,,,unknown,,walk,0.44578566397712655
,,,,,,,1,bike,0.22245523528200248
,,,,,,,1,car,0.09828383093630012
,,,,,,,1,pt,0.31496031896222
,,,,,,,1,ride,0.02859409823702364
,,,,,,,1,walk,0.3357065165824538
,,,,,,,10,bike,0.08744744574415718
,,,,,,,10,car,0.2736735086141201
,,,,,,,10,pt,0.280471162998546
,,,,,,,10,ride,0.0952715487150535
,,,,,,,10,walk,0.2631363339281232
,,,,,,,11,bike,0.13597101166497397
,,,,,,,11,car,0.19419626339235282
,,,,,,,11,pt,0.30720513840817687
,,,,,,,11,ride,0.05891879151811492
,,,,,,,11,walk,0.30370879501638137
,,,,,,,12,bike,0.12173334235265132
,,,,,,,12,car,0.27181929099624397
,,,,,,,12,pt,0.24225952250609073
,,,,,,,12,ride,0.08777818598496231
,,,,,,,12,walk,0.27640965816005153
,,,,,,,2,bike,0.2867195958422479
,,,,,,,2,car,0.10621810469597602
,,,,,,,2,pt,0.24982142119103468
,,,,,,,2,ride,0.028026197630226665
,,,,,,,2,walk,0.3292146806405149
,,,,,,,3,bike,0.2192802467064178
,,,,,,,3,car,0.1543270615770013
,,,,,,,3,pt,0.27207245123296764
,,,,,,,3,ride,0.04237591879408064
,,,,,,,3,walk,0.3119443216895326
,,,,,,,4,bike,0.177266247856621
,,,,,,,4,car,0.1873789320460324
,,,,,,,4,pt,0.26804409333042156
,,,,,,,4,ride,0.0509702099588818
,,,,,,,4,walk,0.31634051680804315
,,,,,,,5,bike,0.09710394270377055
,,,,,,,5,car,0.32172144737445774
,,,,,,,5,pt,0.23374944415441531
,,,,,,,5,ride,0.0955921375692921
,,,,,,,5,walk,0.25183302819806436
,,,,,,,6,bike,0.15385942324428611
,,,,,,,6,car,0.2653163846378738
,,,,,,,6,pt,0.24660900781523998
,,,,,,,6,ride,0.0769699452499058
,,,,,,,6,walk,0.25724523905269414
,,,,,,,7,bike,0.19811453622411632
,,,,,,,7,car,0.19006378616139552
,,,,,,,7,pt,0.24946936225083052
,,,,,,,7,ride,0.05188347595344226
,,,,,,,7,walk,0.31046883941021547
,,,,,,,8,bike,0.19149279461553903
,,,,,,,8,car,0.20810645227376143
,,,,,,,8,pt,0.24604330641911468
,,,,,,,8,ride,0.06970230175082685
,,,,,,,8,walk,0.28465514494075805
,,,,,,,9,bike,0.15920209870477664
,,,,,,,9,car,0.24506023297929178
,,,,,,,9,pt,0.25080921016110574
,,,,,,,9,ride,0.06723013258169741
,,,,,,,9,walk,0.27769832557312857
